中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,537 Mbps,68812 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,83 ms,219 Mbps,28057 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,22 ms,562 Mbps,71987 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,27 ms,0 Mbps,119 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,34 Mbps,4441 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,336 Mbps,43008 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,76 ms,304 Mbps,39014 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,72 ms,710 Mbps,90931 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,220 Mbps,28160 kB/s
193.122.197.111,443,193.122.197.111,394 Mbps,50483 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,58 ms,28 Mbps,3652 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,72 ms,126 Mbps,16179 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,307 Mbps,39321 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,31 ms,3 Mbps,444 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,59 ms,50 Mbps,6469 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,163 ms,277 Mbps,35532 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,74 ms,249 Mbps,31948 kB/s
192.9.138.241,443,192.9.138.241,,San Jose,中转,0 ms,292 Mbps,37478 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,74 ms,319 Mbps,40857 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,71 ms,332 Mbps,42496 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,116 ms,848 Mbps,108544 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,83 ms,21 Mbps,2761 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,241 Mbps,30924 kB/s
129.159.47.255,443,129.159.47.255,US,San Jose,中转,76 ms,42 Mbps,5494 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,68 ms,163 Mbps,20889 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,91 ms,35 Mbps,4606 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,92 ms,308 Mbps,39526 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,89 ms,42 Mbps,5489 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,94 ms,226 Mbps,28979 kB/s
132.226.208.217,443,2a0b:21c0:100a:1b7:0:34a8:c694:5fea,DE,Frankfurt,隧道,189 ms,112 Mbps,14438 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,280 Mbps,35942 kB/s
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,62 ms,276 Mbps,35430 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,180 ms,215 Mbps,27545 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,208 Mbps,26726 kB/s
131.186.28.236,443,131.186.28.236,KR,Seoul,中转,183 ms,37 Mbps,4764 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:a1,US,San Jose,隧道,72 ms,69 Mbps,8911 kB/s
193.122.53.69,443,2a0b:21c0:1007:1ca:0:685e:9ceb:b921,DE,Frankfurt,隧道,89 ms,200 Mbps,25600 kB/s
141.147.68.160,443,2a0b:21c0:100a:1b4:0:eb64:6eb2:d5e2,DE,Frankfurt,隧道,103 ms,115 Mbps,14745 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,93 Mbps,11980 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,184 ms,80 Mbps,10240 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,143 ms,230 Mbps,29491 kB/s
